2016-02-23 13:11:28,273 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:28,274 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:28,277 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [3] milliseconds
2016-02-23 13:11:28,293 |0.0.0.0-8443-exec-59 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:11:28,296 |0.0.0.0-8443-exec-59 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.041,since last([main(Domain:http...):0.041]]
2016-02-23 13:11:29,654 |0.0.0.0-8443-exec-59 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:11:29,654 |0.0.0.0-8443-exec-59 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 13:11:29,655 |0.0.0.0-8443-exec-59 |RequestHandler                |I| Rendering View [main], sessionId=8FBC5D3CA47E4012383D1A403CF6D186.jvm1
2016-02-23 13:11:29,659 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [1] milliseconds
2016-02-23 13:11:29,666 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:29,669 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:29,671 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:29,673 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:29,675 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:29,677 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:29,692 |0.0.0.0-8443-exec-59 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:11:29,696 |0.0.0.0-8443-exec-59 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.042,since last([main(Domain:http...):0.042]]
2016-02-23 13:11:33,213 |0.0.0.0-8443-exec-48 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:11:33,213 |0.0.0.0-8443-exec-48 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 13:11:33,216 |0.0.0.0-8443-exec-48 |RequestHandler                |I| Rendering View [main], sessionId=8FBC5D3CA47E4012383D1A403CF6D186.jvm1
2016-02-23 13:11:33,240 |0.0.0.0-8443-exec-48 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-23 13:11:33,242 |0.0.0.0-8443-exec-48 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [1] milliseconds
2016-02-23 13:11:33,268 |0.0.0.0-8443-exec-48 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:33,270 |0.0.0.0-8443-exec-48 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:33,272 |0.0.0.0-8443-exec-48 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:33,274 |0.0.0.0-8443-exec-48 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:33,274 |0.0.0.0-8443-exec-48 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:33,276 |0.0.0.0-8443-exec-48 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:33,290 |0.0.0.0-8443-exec-48 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:11:33,295 |0.0.0.0-8443-exec-48 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.082,since last([main(Domain:http...):0.082]]
2016-02-23 13:14:13,235 |0.0.0.0-8443-exec-59 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:14:13,235 |0.0.0.0-8443-exec-59 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 13:14:13,240 |0.0.0.0-8443-exec-59 |ConfigXMLReader               |I| controller loaded: 0.0s, 111 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2016-02-23 13:14:13,243 |0.0.0.0-8443-exec-59 |ConfigXMLReader               |I| controller loaded: 0.0s, 39 requests, 19 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/common-controller.xml
2016-02-23 13:14:13,245 |0.0.0.0-8443-exec-59 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-02-23 13:14:13,248 |0.0.0.0-8443-exec-59 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/portal-controller.xml
2016-02-23 13:14:13,250 |0.0.0.0-8443-exec-59 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/security-controller.xml
2016-02-23 13:14:13,252 |0.0.0.0-8443-exec-59 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2016-02-23 13:14:13,253 |0.0.0.0-8443-exec-59 |RequestHandler                |I| Rendering View [main], sessionId=8FBC5D3CA47E4012383D1A403CF6D186.jvm1
2016-02-23 13:14:13,301 |0.0.0.0-8443-exec-59 |ScreenFactory                 |I| Got 11 screens in 0.004s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/webtools/widget/CommonScreens.xml
2016-02-23 13:14:13,305 |0.0.0.0-8443-exec-59 |ScreenFactory                 |I| Got 24 screens in 0.003s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/widget/CommonScreens.xml
2016-02-23 13:14:13,312 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [7] milliseconds
2016-02-23 13:14:13,345 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:14:13,357 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [11] milliseconds
2016-02-23 13:14:13,358 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:14:13,360 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:14:13,361 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:14:13,365 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [3] milliseconds
2016-02-23 13:14:13,387 |0.0.0.0-8443-exec-59 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:14:13,391 |0.0.0.0-8443-exec-59 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.156,since last([main(Domain:http...):0.156]]
2016-02-23 13:15:12,132 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19807] -- Next runtime: Tue Feb 23 13:30:12 CST 2016
2016-02-23 13:15:12,163 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [31] milliseconds
2016-02-23 13:17:04,157 |0.0.0.0-8443-exec-58 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:17:04,157 |0.0.0.0-8443-exec-58 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 13:17:04,162 |0.0.0.0-8443-exec-58 |ConfigXMLReader               |I| controller loaded: 0.001s, 111 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2016-02-23 13:17:04,164 |0.0.0.0-8443-exec-58 |ConfigXMLReader               |I| controller loaded: 0.0s, 39 requests, 19 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/common-controller.xml
2016-02-23 13:17:04,166 |0.0.0.0-8443-exec-58 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-02-23 13:17:04,169 |0.0.0.0-8443-exec-58 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/portal-controller.xml
2016-02-23 13:17:04,171 |0.0.0.0-8443-exec-58 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/security-controller.xml
2016-02-23 13:17:04,173 |0.0.0.0-8443-exec-58 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2016-02-23 13:17:04,175 |0.0.0.0-8443-exec-58 |RequestHandler                |I| Rendering View [main], sessionId=8FBC5D3CA47E4012383D1A403CF6D186.jvm1
2016-02-23 13:17:04,225 |0.0.0.0-8443-exec-58 |ScreenFactory                 |I| Got 11 screens in 0.004s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/webtools/widget/CommonScreens.xml
2016-02-23 13:17:04,229 |0.0.0.0-8443-exec-58 |ScreenFactory                 |I| Got 24 screens in 0.004s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/widget/CommonScreens.xml
2016-02-23 13:17:04,238 |0.0.0.0-8443-exec-58 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [7] milliseconds
2016-02-23 13:17:04,272 |0.0.0.0-8443-exec-58 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:17:04,285 |0.0.0.0-8443-exec-58 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [13] milliseconds
2016-02-23 13:17:04,287 |0.0.0.0-8443-exec-58 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:17:04,289 |0.0.0.0-8443-exec-58 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:17:04,291 |0.0.0.0-8443-exec-58 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:17:04,293 |0.0.0.0-8443-exec-58 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:17:04,325 |0.0.0.0-8443-exec-58 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:17:04,331 |0.0.0.0-8443-exec-58 |TransactionUtil               |W| No transaction in place, so not suspending.
2016-02-23 13:17:04,334 |0.0.0.0-8443-exec-58 |SequenceUtil                  |I| Got bank of sequenced IDs for [ServerHitBin]; curSeqId=12180, maxSeqId=12190, bankSize=10
2016-02-23 13:17:04,342 |0.0.0.0-8443-exec-58 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.185,since last([main(Domain:http...):0.185]]
2016-02-23 13:17:05,751 |0.0.0.0-8443-exec-60 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:17:05,752 |0.0.0.0-8443-exec-60 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
