2016-02-22 17:17:28,229 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/base/config/ofbiz-containers.xml for loaders {main, rmi}
2016-02-22 17:17:28,396 |main                 |ContainerLoader               |I| Loading container: component-container
2016-02-22 17:17:28,430 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework]
2016-02-22 17:17:28,467 |main                 |ComponentContainer            |I| Loading component : [base]
2016-02-22 17:17:28,489 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-02-22 17:17:28,508 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-02-22 17:17:28,524 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-02-22 17:17:28,542 |main                 |ComponentContainer            |I| Loading component : [security]
2016-02-22 17:17:28,555 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-02-22 17:17:28,570 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-02-22 17:17:28,605 |main                 |ComponentContainer            |I| Loading component : [common]
2016-02-22 17:17:28,629 |main                 |ComponentContainer            |I| Loading component : [service]
2016-02-22 17:17:28,671 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-02-22 17:17:28,696 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-02-22 17:17:28,712 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-02-22 17:17:28,732 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-02-22 17:17:28,750 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-02-22 17:17:28,766 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-02-22 17:17:28,783 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-02-22 17:17:28,809 |main                 |ComponentContainer            |I| Loading component : [images]
2016-02-22 17:17:28,810 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/themes]
2016-02-22 17:17:28,822 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-02-22 17:17:28,835 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-02-22 17:17:28,836 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications]
2016-02-22 17:17:28,851 |main                 |ComponentContainer            |I| Loading component : [party]
2016-02-22 17:17:28,866 |main                 |ComponentContainer            |I| Loading component : [securityext]
2016-02-22 17:17:28,881 |main                 |ComponentContainer            |I| Loading component : [content]
2016-02-22 17:17:28,899 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2016-02-22 17:17:28,921 |main                 |ComponentContainer            |I| Loading component : [product]
2016-02-22 17:17:28,933 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-02-22 17:17:28,948 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-02-22 17:17:28,950 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/securepay' does not exist
2016-02-22 17:17:28,950 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/cybersource' does not exist
2016-02-22 17:17:28,950 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/worldpay' does not exist
2016-02-22 17:17:28,951 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/worldpay' does not exist
2016-02-22 17:17:28,960 |main                 |ComponentContainer            |I| Loading component : [humanres]
2016-02-22 17:17:28,972 |main                 |ComponentContainer            |I| Loading component : [order]
2016-02-22 17:17:28,989 |main                 |ComponentContainer            |I| Loading component : [marketing]
2016-02-22 17:17:29,009 |main                 |ComponentContainer            |I| Loading component : [commonext]
2016-02-22 17:17:29,009 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/specialpurpose]
2016-02-22 17:17:29,029 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2016-02-22 17:17:29,030 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/hot-deploy]
2016-02-22 17:17:29,043 |main                 |ComponentContainer            |I| All components loaded
2016-02-22 17:17:29,043 |main                 |ContainerLoader               |I| Loaded container: component-container
2016-02-22 17:17:29,044 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2016-02-22 17:17:29,236 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
2016-02-22 17:17:29,236 |main                 |ContainerLoader               |I| Loaded component's container: classloader-container
2016-02-22 17:17:29,236 |main                 |ContainerLoader               |I| Loading component's container: naming-container
2016-02-22 17:17:29,238 |main                 |ContainerLoader               |I| Loaded component's container: naming-container
2016-02-22 17:17:29,238 |main                 |ContainerLoader               |I| Loading component's container: service-container
2016-02-22 17:17:29,240 |main                 |ContainerLoader               |I| Loaded component's container: service-container
2016-02-22 17:17:29,240 |main                 |ContainerLoader               |I| Loading component's container: rmi-dispatcher
2016-02-22 17:17:29,241 |main                 |ContainerLoader               |I| Loaded component's container: rmi-dispatcher
2016-02-22 17:17:29,241 |main                 |ContainerLoader               |I| Loading component's container: catalina-container
2016-02-22 17:17:29,250 |main                 |DelegatorFactoryImpl          |I| Creating new delegator [default] (main)
2016-02-22 17:17:30,416 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-22 17:17:30,416 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-02-22 17:17:30,416 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-22 17:17:30,416 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-02-22 17:17:30,418 |main                 |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
