2016-02-19 15:23:11,551 |main                 |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-19 15:23:11,553 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-19 15:23:11,553 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2016-02-19 15:23:11,576 |main                 |ModelReader                   |I| FINISHED LOADING ENTITIES - ALL FILES; #Entities=843 #ViewEntities=259 #Fields=8782 #Relationships=2902 #AutoRelationships=2155
2016-02-19 15:23:11,590 |main                 |GenericDelegator              |I| Doing entity definition check...
2016-02-19 15:23:11,593 |main                 |ModelEntityChecker            |I| [initReservedWords] array length=1025
2016-02-19 15:25:28,613 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/base/config/ofbiz-containers.xml for loaders {main, rmi}
2016-02-19 15:25:28,784 |main                 |ContainerLoader               |I| Loading container: component-container
2016-02-19 15:25:28,805 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework]
2016-02-19 15:25:28,837 |main                 |ComponentContainer            |I| Loading component : [base]
2016-02-19 15:25:28,864 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-02-19 15:25:28,878 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-02-19 15:25:28,895 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-02-19 15:25:28,911 |main                 |ComponentContainer            |I| Loading component : [security]
2016-02-19 15:25:28,926 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-02-19 15:25:28,942 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-02-19 15:25:28,962 |main                 |ComponentContainer            |I| Loading component : [common]
2016-02-19 15:25:28,988 |main                 |ComponentContainer            |I| Loading component : [service]
2016-02-19 15:25:29,033 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-02-19 15:25:29,058 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-02-19 15:25:29,086 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-02-19 15:25:29,101 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-02-19 15:25:29,120 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-02-19 15:25:29,133 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-02-19 15:25:29,145 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-02-19 15:25:29,160 |main                 |ComponentContainer            |I| Loading component : [images]
2016-02-19 15:25:29,161 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/themes]
2016-02-19 15:25:29,175 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-02-19 15:25:29,189 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-02-19 15:25:29,189 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications]
2016-02-19 15:25:29,205 |main                 |ComponentContainer            |I| Loading component : [party]
2016-02-19 15:25:29,217 |main                 |ComponentContainer            |I| Loading component : [securityext]
2016-02-19 15:25:29,230 |main                 |ComponentContainer            |I| Loading component : [content]
2016-02-19 15:25:29,244 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2016-02-19 15:25:29,258 |main                 |ComponentContainer            |I| Loading component : [product]
2016-02-19 15:25:29,271 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-02-19 15:25:29,283 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-02-19 15:25:29,285 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/securepay' does not exist
2016-02-19 15:25:29,285 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/cybersource' does not exist
2016-02-19 15:25:29,286 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/worldpay' does not exist
2016-02-19 15:25:29,286 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/worldpay' does not exist
2016-02-19 15:25:29,296 |main                 |ComponentContainer            |I| Loading component : [humanres]
2016-02-19 15:25:29,312 |main                 |ComponentContainer            |I| Loading component : [order]
2016-02-19 15:25:29,324 |main                 |ComponentContainer            |I| Loading component : [marketing]
2016-02-19 15:25:29,336 |main                 |ComponentContainer            |I| Loading component : [commonext]
2016-02-19 15:25:29,336 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/specialpurpose]
2016-02-19 15:25:29,351 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2016-02-19 15:25:29,352 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/hot-deploy]
2016-02-19 15:25:29,372 |main                 |ComponentContainer            |I| All components loaded
2016-02-19 15:25:29,372 |main                 |ContainerLoader               |I| Loaded container: component-container
2016-02-19 15:25:29,373 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2016-02-19 15:25:29,415 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
2016-02-19 15:25:29,415 |main                 |ContainerLoader               |I| Loaded component's container: classloader-container
2016-02-19 15:25:29,415 |main                 |ContainerLoader               |I| Loading component's container: naming-container
2016-02-19 15:25:29,418 |main                 |ContainerLoader               |I| Loaded component's container: naming-container
2016-02-19 15:25:29,418 |main                 |ContainerLoader               |I| Loading component's container: service-container
2016-02-19 15:25:29,420 |main                 |ContainerLoader               |I| Loaded component's container: service-container
2016-02-19 15:25:29,421 |main                 |ContainerLoader               |I| Loading component's container: rmi-dispatcher
2016-02-19 15:25:29,421 |main                 |ContainerLoader               |I| Loaded component's container: rmi-dispatcher
2016-02-19 15:25:29,421 |main                 |ContainerLoader               |I| Loading component's container: catalina-container
2016-02-19 15:25:29,432 |main                 |DelegatorFactoryImpl          |I| Creating new delegator [default] (main)
2016-02-19 15:25:30,204 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
