2016-02-25 18:10:25,036 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,036 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,036 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/6.jpg
2016-02-25 18:10:25,037 |0.0.0.0-8080-exec-46 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/b3.jpg
2016-02-25 18:10:25,038 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,038 |0.0.0.0-8080-exec-46 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,041 |0.0.0.0-8080-exec-44 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [2] milliseconds
2016-02-25 18:10:25,041 |0.0.0.0-8080-exec-46 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [3] milliseconds
2016-02-25 18:10:25,041 |0.0.0.0-8080-exec-47 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,042 |0.0.0.0-8080-exec-47 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/b4.jpg
2016-02-25 18:10:25,043 |0.0.0.0-8080-exec-47 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,043 |0.0.0.0-8080-exec-46 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,043 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.007,since last([themes(Domain:ht...):0.007]]
2016-02-25 18:10:25,043 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,043 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.007,since last([themes(Domain:ht...):0.007]]
2016-02-25 18:10:25,046 |0.0.0.0-8080-exec-47 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,046 |0.0.0.0-8080-exec-47 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.005,since last([themes(Domain:ht...):0.005]]
