2016-02-23 09:58:49,381 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/base/config/ofbiz-containers.xml for loaders {main, rmi}
2016-02-23 09:58:49,574 |main                 |ContainerLoader               |I| Loading container: component-container
2016-02-23 09:58:49,607 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework]
2016-02-23 09:58:49,657 |main                 |ComponentContainer            |I| Loading component : [base]
2016-02-23 09:58:49,687 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-02-23 09:58:49,704 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-02-23 09:58:49,723 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-02-23 09:58:49,744 |main                 |ComponentContainer            |I| Loading component : [security]
2016-02-23 09:58:49,763 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-02-23 09:58:49,784 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-02-23 09:58:49,828 |main                 |ComponentContainer            |I| Loading component : [common]
2016-02-23 09:58:49,858 |main                 |ComponentContainer            |I| Loading component : [service]
2016-02-23 09:58:49,893 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-02-23 09:58:49,913 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-02-23 09:58:49,931 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-02-23 09:58:49,954 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-02-23 09:58:49,975 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-02-23 09:58:49,995 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-02-23 09:58:50,017 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-02-23 09:58:50,035 |main                 |ComponentContainer            |I| Loading component : [images]
2016-02-23 09:58:50,035 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/themes]
2016-02-23 09:58:50,058 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-02-23 09:58:50,076 |main                 |ComponentContainer            |I| Loading component : [qlstyle]
2016-02-23 09:58:50,092 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-02-23 09:58:50,093 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications]
2016-02-23 09:58:50,127 |main                 |ComponentContainer            |I| Loading component : [party]
2016-02-23 09:58:50,143 |main                 |ComponentContainer            |I| Loading component : [securityext]
2016-02-23 09:58:50,166 |main                 |ComponentContainer            |I| Loading component : [content]
2016-02-23 09:58:50,187 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2016-02-23 09:58:50,203 |main                 |ComponentContainer            |I| Loading component : [product]
2016-02-23 09:58:50,223 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-02-23 09:58:50,239 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-02-23 09:58:50,241 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/securepay' does not exist
2016-02-23 09:58:50,241 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/cybersource' does not exist
2016-02-23 09:58:50,242 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/worldpay' does not exist
2016-02-23 09:58:50,243 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/worldpay' does not exist
2016-02-23 09:58:50,257 |main                 |ComponentContainer            |I| Loading component : [humanres]
2016-02-23 09:58:50,274 |main                 |ComponentContainer            |I| Loading component : [order]
2016-02-23 09:58:50,307 |main                 |ComponentContainer            |I| Loading component : [marketing]
2016-02-23 09:58:50,323 |main                 |ComponentContainer            |I| Loading component : [commonext]
2016-02-23 09:58:50,324 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/specialpurpose]
2016-02-23 09:58:50,350 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2016-02-23 09:58:50,351 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/hot-deploy]
2016-02-23 09:58:50,366 |main                 |ComponentContainer            |I| All components loaded
2016-02-23 09:58:50,366 |main                 |ContainerLoader               |I| Loaded container: component-container
2016-02-23 09:58:50,368 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2016-02-23 09:58:50,594 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
