2016-02-24 09:58:31,700 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/base/config/ofbiz-containers.xml for loaders {main, rmi}
2016-02-24 09:58:31,903 |main                 |ContainerLoader               |I| Loading container: component-container
2016-02-24 09:58:31,937 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework]
2016-02-24 09:58:31,981 |main                 |ComponentContainer            |I| Loading component : [base]
2016-02-24 09:58:32,013 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-02-24 09:58:32,034 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-02-24 09:58:32,053 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-02-24 09:58:32,071 |main                 |ComponentContainer            |I| Loading component : [security]
2016-02-24 09:58:32,088 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-02-24 09:58:32,103 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-02-24 09:58:32,129 |main                 |ComponentContainer            |I| Loading component : [common]
2016-02-24 09:58:32,152 |main                 |ComponentContainer            |I| Loading component : [service]
2016-02-24 09:58:32,185 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-02-24 09:58:32,200 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-02-24 09:58:32,226 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-02-24 09:58:32,239 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-02-24 09:58:32,252 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-02-24 09:58:32,268 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-02-24 09:58:32,288 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-02-24 09:58:32,305 |main                 |ComponentContainer            |I| Loading component : [images]
2016-02-24 09:58:32,305 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/themes]
2016-02-24 09:58:32,323 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-02-24 09:58:32,338 |main                 |ComponentContainer            |I| Loading component : [qlstyle]
2016-02-24 09:58:32,353 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-02-24 09:58:32,353 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications]
